height,graph_seed,walk_seed,walks,steps,broken_cross_tree_control,vertices,cycle_vertices,hits,hit_probability,mean_first_hit_step,neighbor_oracle_queries
4,20260801,20360801,10000,256,False,62,32,7778,0.7778,103.64052455644125,1374948
4,20260801,20360801,10000,256,True,62,32,0,0.0,,2560000
4,20260802,20360802,10000,256,False,62,32,7741,0.7741,105.20152435085906,1392669
4,20260802,20360802,10000,256,True,62,32,0,0.0,,2560000
4,20260803,20360803,10000,256,False,62,32,7834,0.7834,105.11335205514425,1377954
4,20260803,20360803,10000,256,True,62,32,0,0.0,,2560000
4,20260804,20360804,10000,256,False,62,32,7821,0.7821,105.69454034010997,1384461
4,20260804,20360804,10000,256,True,62,32,0,0.0,,2560000
4,20260805,20360805,10000,256,False,62,32,7829,0.7829,106.7981862306808,1391899
4,20260805,20360805,10000,256,True,62,32,0,0.0,,2560000
